"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"117",2001,374759.357458348,153006.871668131,1550982.0947094,12.8817063928246,0.607247342922586,"28","cod",374.759357458348,153.006871668131,1550.9820947094
"118",2002,652257.670733379,220222.113814875,1871490.91067984,13.3674732576406,0.544893049499678,"28","cod",652.257670733379,220.222113814875,1871.49091067984
"119",2003,129930.677377154,46240.1074306418,449875.368408023,11.8250845047411,0.623800704719521,"28","cod",129.930677377154,46.2401074306418,449.875368408023
"120",2004,202875.017134858,72294.9818466803,668379.63413957,12.2109950968624,0.612203866397032,"28","cod",202.875017134858,72.2949818466803,668.37963413957
"121",2005,346938.635420499,127320.319650035,1030302.8312868,12.7539016071646,0.537452016548114,"28","cod",346.938635420499,127.320319650035,1030.3028312868
"122",2006,201493.678458311,117152.049505259,541230.712940795,12.2542779968247,0.391599894017261,"28","cod",201.493678458311,117.152049505259,541.230712940795
"123",2007,399104.321831992,243201.488129797,832260.582314215,12.9595103480953,0.333218495601284,"28","cod",399.104321831992,243.201488129797,832.260582314215
"124",2008,363705.986853567,229069.388901054,972745.805653122,12.8522482125246,0.326543584776504,"28","cod",363.705986853567,229.069388901054,972.745805653122
"125",2009,308917.0345754,161697.942085013,686341.13374704,12.6787616736541,0.392668342780558,"28","cod",308.9170345754,161.697942085013,686.34113374704
"126",2010,202330.009700075,123078.000292196,436854.857999495,12.2426302013701,0.316430880021783,"28","cod",202.330009700075,123.078000292196,436.854857999495
"127",2011,153895.731333075,87154.2923253822,309401.564537913,11.9602674510539,0.328229016928067,"28","cod",153.895731333075,87.1542923253822,309.401564537913
"128",2012,64792.510872733,37235.4054193901,127181.95558018,11.0814315288619,0.345144085110798,"28","cod",64.792510872733,37.2354054193901,127.18195558018
"129",2013,88600.8654568396,50304.4009183869,196161.740262223,11.3998258722476,0.359608411040201,"28","cod",88.6008654568396,50.3044009183869,196.161740262223
"130",2014,64242.8152660362,39299.221208187,164644.060720522,11.1360763900957,0.387132514278007,"28","cod",64.2428152660362,39.299221208187,164.644060720522
"131",2015,58474.0240627518,27961.1729277445,172488.908372595,10.9962803284925,0.417991759911099,"28","cod",58.4740240627518,27.9611729277445,172.488908372595
"132",2016,28896.0197951087,15692.180301868,85457.2575722581,10.3597948751376,0.453098027719578,"28","cod",28.8960197951087,15.692180301868,85.4572575722581
"133",2017,106241.392356759,64917.1853355595,226190.616469271,11.6065395929093,0.33254233034432,"28","cod",106.241392356759,64.9171853355595,226.190616469271
"134",2018,31045.1228399124,17384.1479027035,78461.5606539669,10.4190106921231,0.395075131120876,"28","cod",31.0451228399123,17.3841479027035,78.4615606539669
"135",2019,43492.87407011,17672.0414249228,154061.446099483,10.7533042027865,0.60041610161383,"28","cod",43.49287407011,17.6720414249228,154.061446099483
"136",1993,364950.787397954,194254.956897528,842445.034073116,12.8263748771121,0.425436882265518,"24","fle",364.950787397954,194.254956897528,842.445034073116
"137",1994,176293.799037835,92784.9884781253,450939.885278641,12.121510334324,0.416357388156801,"24","fle",176.293799037835,92.7849884781253,450.939885278641
"138",1995,467456.964725592,236421.299447546,1413619.50829749,13.132526080803,0.48676261418338,"24","fle",467.456964725592,236.421299447546,1413.61950829749
"139",1996,290774.047312972,146969.43252747,863268.845910766,12.6101628759604,0.436285695403646,"24","fle",290.774047312972,146.96943252747,863.268845910766
"140",1997,273397.009067705,135737.45775679,898058.188588585,12.6181805281479,0.464686078521798,"24","fle",273.397009067705,135.73745775679,898.058188588585
"141",1998,200175.784902279,106745.287390946,586802.280094731,12.2898785559822,0.457510903067595,"24","fle",200.175784902279,106.745287390946,586.802280094731
"142",1999,144493.383180698,95308.8259521065,287265.786429713,11.9057062004347,0.303720981956684,"24","fle",144.493383180698,95.3088259521065,287.265786429713
"143",2000,159407.780964523,95549.90029653,357236.451229301,12.0232873588984,0.353327537846151,"24","fle",159.407780964523,95.54990029653,357.236451229301
"144",2001,186443.969357868,125708.188120856,485457.484358617,12.2244578943233,0.333513444296999,"24","fle",186.443969357868,125.708188120856,485.457484358617
"145",2002,512292.661864213,344864.066931882,1635135.7665282,13.2050827825643,0.360140299193614,"24","fle",512.292661864213,344.864066931882,1635.1357665282
"146",2003,157670.377370082,102536.271388406,315254.746537066,12.0236137657436,0.328422525993864,"24","fle",157.670377370082,102.536271388406,315.254746537066
"147",2004,296614.5018933,152594.905815424,873656.032012036,12.6777533728426,0.433100090187462,"24","fle",296.6145018933,152.594905815424,873.656032012036
"148",2005,267485.512229827,139081.16898244,789103.250166345,12.5512958163102,0.467481267123726,"24","fle",267.485512229827,139.08116898244,789.103250166345
"149",2006,316957.602782781,215009.34504689,658694.488299546,12.7288481600885,0.33869637140391,"24","fle",316.957602782781,215.00934504689,658.694488299546
"150",2007,283782.560568333,174666.063611222,454417.028008459,12.5376927096623,0.277108604114611,"24","fle",283.782560568333,174.666063611222,454.417028008459
"151",2008,377151.339946807,267341.199928694,743929.363419454,12.8960845430548,0.287018294310599,"24","fle",377.151339946807,267.341199928694,743.929363419454
"152",2009,558189.747272265,386053.257458821,1181303.02228584,13.2684328455047,0.289719220619987,"24","fle",558.189747272265,386.053257458821,1181.30302228584
"153",2010,781304.620583536,514951.853717855,1462862.40876465,13.5905676565722,0.276325428073988,"24","fle",781.304620583536,514.951853717855,1462.86240876465
"154",2011,632853.391381986,447426.764868998,900422.107075668,13.3479947681514,0.182941765509206,"24","fle",632.853391381986,447.426764868998,900.422107075668
"155",2012,535966.181800527,383866.488341931,812079.830166574,13.2049139843154,0.200970681143621,"24","fle",535.966181800527,383.866488341931,812.079830166574
"156",2013,690156.361012942,494142.632174111,1110767.24424263,13.4779289564594,0.213379919280845,"24","fle",690.156361012942,494.142632174111,1110.76724424263
